,0
0,21043.336227417447
1,21828.98519733071
2,21592.81116553115
3,21842.367471631263
4,20665.157235459395
5,20415.43231656789
6,20026.69606931777
7,22012.87989063589
8,21659.953503666045
9,21740.639264757614
10,21599.573155846952
11,21398.211034899567
12,21321.874237285756
13,21454.423068760447
14,21244.99665877003
15,20594.479656648236
16,19987.410573704277
17,21230.439804893504
18,21357.33682322538
19,21631.784089717796
20,22433.53613383996
21,21564.76626896895
22,22072.509163668758
23,21808.176284302157
24,22240.211935741514
25,20798.390458180573
26,20162.222907041843
27,21270.72448432478
28,21345.55059312116
