,0
0,442821999.5801396
1,476504594.7452831
2,466249494.0302867
3,477089016.76577556
4,427048723.5662598
5,416789876.6723646
6,401068555.4528278
7,484566881.0795619
8,469153585.780975
9,472655395.64032054
10,466541560.5147843
11,457883435.49409753
12,454622320.99063
13,460292269.2133604
14,451349883.0311497
15,424132592.328098
16,399496581.44182557
17,450731574.30920655
18,456135836.1806988
19,467934082.90416795
20,503263543.4683032
21,465039144.23526096
22,487195660.78024125
23,475596552.847199
24,494627026.94669926
25,432573045.65093666
26,406515232.5532428
27,452443720.0880537
28,455632530.12349504
