,0
0,15063.773569701852
1,16392.30836236934
2,15750.122175732218
3,16091.310225303292
4,15168.269387755103
5,13258.181169757489
6,13186.30021141649
7,15721.95766299746
8,15790.662127659574
9,16167.407792207792
10,15425.145936981758
11,15132.25566343042
12,16273.87204206836
13,15793.094594594595
14,15732.984745762711
15,14250.446306169079
16,12430.458831341302
17,15725.795626576955
18,15818.807952622674
19,15973.542562338778
20,16553.358288770054
21,15426.10396039604
22,15945.123605150215
23,16319.121265377857
24,15980.983760683761
25,14445.759845559845
26,12731.970568104038
27,15803.972104818258
28,15092.442567567568
