,0
0,0.017818378619608007
1,0.0003024188926751289
2,7.168775642567827e-06
3,2.986909655865769e-06
4,2.553511427811548e-06
5,3.690199483678237e-06
6,1.8474675340869412e-06
7,5.193647148647576e-06
8,5.459856625878616e-06
9,9.531270736907715e-06
10,9.996579822075871e-06
11,9.32931604217198e-06
12,5.6341352367792e-06
13,8.326058207066784e-06
14,2.246746825431238e-06
15,3.5751239072999978e-06
16,5.4510797202580404e-06
17,1.0181968554834735e-05
18,6.2686411482001964e-06
19,5.247992919782991e-06
20,6.6137380088425815e-06
21,9.429751506862769e-06
22,3.971334434585858e-06
23,3.838806010467902e-06
24,3.554735287955627e-06
25,5.0024071888483086e-06
26,2.9481857755652265e-06
27,2.9904551040094908e-06
28,1.9946840525395154e-06
29,3.7938352223028326e-06
