,0
0,9.891718813855454e-07
1,9.643991289988876e-07
2,2.5242658218083614e-06
3,9.527894074668645e-07
4,2.355928095921335e-06
5,9.607370394997562e-07
6,1.4940270236926867e-06
7,2.3179671446482266e-06
8,9.561875855378191e-07
9,4.8978835016598805e-06
10,4.378223212795126e-06
11,9.654649078850747e-07
12,2.4210394556044993e-06
13,9.540595422089866e-07
14,2.306987377657155e-06
15,1.4663690002251768e-06
16,9.515196903822169e-07
17,2.424750566291376e-06
18,1.7315170715485648e-06
19,5.018029042707008e-06
20,9.513654475201217e-07
21,2.312483748632112e-06
22,9.539408430056293e-07
23,2.5714955058697613e-06
24,9.653312084351848e-07
25,9.546927200962998e-07
26,2.3198064777622626e-06
27,9.735400053566143e-07
28,2.7722638469498437e-06
